age,cohort,model_prop_f,model_prop_m
13,1988.0,0.04904632152588556,0.0018709073900841909
14,1988.0,0.08014571948998178,0.002806361085126286
15,1988.0,0.10655737704918032,0.007497656982193065
16,1988.0,0.18231540565177756,0.021616541353383457
17,1988.0,0.22120658135283364,0.07149576669802446
18,1988.0,0.34277879341864714,0.12252591894439209
19,1988.0,0.42844036697247706,0.1830188679245283
20,1988.0,0.5395948434622467,0.2667928098391675
21,1988.0,0.5682656826568265,0.35734597156398107
22,1988.0,0.6645041705282669,0.47550866616428034
23,1988.0,0.7186629526462396,0.0
24,1988.0,0.800186741363212,0.0
25,1988.0,0.8016838166510758,0.0
26,1988.0,0.8696060037523452,0.0
27,1988.0,0.9201127819548872,0.0
28,1988.0,0.9774223894637818,0.0
29,1988.0,0.9943342776203966,0.0
30,1988.0,0.9962085308056872,0.0
12,1989.0,0.02552415679124886,0.0
13,1989.0,0.058447488584474884,0.0
14,1989.0,0.08974358974358974,0.0
15,1989.0,0.14207149404216315,0.0009165902841429881
16,1989.0,0.19174311926605506,0.014705882352941176
17,1989.0,0.3063477460901564,0.05703771849126035
18,1989.0,0.41589648798521256,0.11764705882352941
19,1989.0,0.5101851851851852,0.1887661141804788
20,1989.0,0.5367441860465116,0.26820276497695855
21,1989.0,0.5921787709497207,0.3779113448534936
22,1989.0,0.6526610644257703,0.0
23,1989.0,0.7553889409559512,0.0
24,1989.0,0.7577464788732394,0.0
25,1989.0,0.8394711992445704,0.0
26,1989.0,0.9167455061494797,0.0
27,1989.0,0.9658767772511848,0.0
28,1989.0,0.9905033238366572,0.0
29,1989.0,0.9904761904761905,0.0
30,1989.0,0.990467111534795,0.0
12,1990.0,0.02799650043744532,0.0
13,1990.0,0.04108391608391608,0.0037105751391465678
14,1990.0,0.07436570428696412,0.0037174721189591076
15,1990.0,0.11042944785276074,0.009302325581395349
16,1990.0,0.2042068361086766,0.0196078431372549
17,1990.0,0.30404217926186294,0.06162464985994398
18,1990.0,0.42416225749559083,0.12138188608776844
19,1990.0,0.4549469964664311,0.18896164639850327
20,1990.0,0.5287865367581931,0.2911676646706587
21,1990.0,0.5735815602836879,0.0
22,1990.0,0.699288256227758,0.0
23,1990.0,0.7026785714285714,0.0
24,1990.0,0.7969588550983899,0.0
25,1990.0,0.8339317773788151,0.0
26,1990.0,0.8567567567567568,0.0
27,1990.0,0.9683830171635049,0.0
28,1990.0,0.9818676337262012,0.0
29,1990.0,0.9845313921747043,0.0
30,1990.0,0.9936189608021878,0.0
12,1991.0,0.020600858369098713,0.0
13,1991.0,0.0429553264604811,0.0
14,1991.0,0.06878761822871883,0.0008960573476702509
15,1991.0,0.11714039621016366,0.0026954177897574125
16,1991.0,0.19413287316652286,0.013489208633093525
17,1991.0,0.30682800345721695,0.06205035971223022
18,1991.0,0.34228769497400346,0.10990990990990991
19,1991.0,0.4149305555555556,0.2169035153328347
20,1991.0,0.4760661444734552,0.0
21,1991.0,0.5283842794759825,0.0
22,1991.0,0.5336832895888014,0.0
23,1991.0,0.7014925373134329,0.0
24,1991.0,0.7618629173989455,0.0
25,1991.0,0.8059964726631393,0.0
26,1991.0,0.9469964664310954,0.0
27,1991.0,0.966282165039929,0.0
28,1991.0,0.968,0.0
29,1991.0,0.9803746654772525,0.0
30,1991.0,0.9883512544802867,0.0
12,1992.0,0.03156146179401993,0.0
13,1992.0,0.06899418121363259,0.0008741258741258741
14,1992.0,0.11323896752706078,0.0017497812773403325
15,1992.0,0.16304347826086957,0.0052585451358457495
16,1992.0,0.19262981574539365,0.01838879159369527
17,1992.0,0.24748322147651006,0.06485539000876424
18,1992.0,0.3266162888329135,0.1527570789865872
19,1992.0,0.396798652064027,0.0
20,1992.0,0.44594594594594594,0.0
21,1992.0,0.550552251486831,0.0
22,1992.0,0.7058823529411765,0.0
23,1992.0,0.7551194539249146,0.0
24,1992.0,0.7929854576561164,0.0
25,1992.0,0.8340498710232158,0.0
26,1992.0,0.8564058469475494,0.0
27,1992.0,0.874675885911841,0.0
28,1992.0,0.9201388888888888,0.0
29,1992.0,0.953792502179599,0.0
30,1992.0,0.978204010462075,0.0
12,1993.0,0.03236797274275979,0.0016246953696181965
